State code,State,Income,Margin Of Error
AL,Alabama,44758,+/- $314
AK,Alaska,74444,+/- $809
AZ,Arizona,51340,+/- $231
AR,Arkansas,42336,+/- $234
CA,California,63783,+/- $188
CO,Colorado,62520,+/- $287
CT,Connecticut,71755,+/- $473
DE,Delaware,61017,+/- $723
FL,Florida,48900,+/- $200
GA,Georgia,51037,+/- $182
HI,Hawaii,71977,+/- $663
ID,Idaho,49174,+/- $425
IL,Illinois,59196,+/- $236
IN,Indiana,50433,+/- $195
IA,Iowa,54570,+/- $300
KS,Kansas,53571,+/- $305
KY,Kentucky,44811,+/- $312
LA,Louisiana,45652,+/- $316
ME,Maine,50826,+/- $425
MD,Maryland,76067,+/- $423
MA,Massachusetts,70954,+/- $343
MI,Michigan,50803,+/- $162
MN,Minnesota,63217,+/- $225
MS,Mississippi,40528,+/- $258
MO,Missouri,49593,+/- $259
MT,Montana,48380,+/- $532
NE,Nebraska,54384,+/- $314
NV,Nevada,53094,+/- $378
NH,New Hampshire,68485,+/- $579
NJ,New Jersey,73702,+/- $377
NM,New Mexico,45674,+/- $350
NY,New York,60741,+/- $209
NC,North Carolina,48256,+/- $229
ND,North Dakota,59114,+/- $853
OH,Ohio,50674,+/- $157
OK,Oklahoma,48038,+/- $247
OR,Oregon,53270,+/- $327
PA,Pennsylvania,54895,+/- $185
RI,Rhode Island,58387,+/- $712
SC,South Carolina,46898,+/- $307
SD,South Dakota,52078,+/- $508
TN,Tennessee,46574,+/- $206
TX,Texas,54727,+/- $165
UT,Utah,62518,+/- $349
VT,Vermont,56104,+/- $793
VA,Virginia,66149,+/- $285
WA,Washington,62848,+/- $343
WV,West Virginia,42644,+/- $410
WI,Wisconsin,54610,+/- $201
WY,Wyoming,59143,+/- $896
