,code,State,Revenue 2015,Debt 2015,Revenue 2016,Debt 2016
0,,United States,2202562898,1150140105,2136635006.0,1160488556.0
1,AL,Alabama,26896290,9125828,30172490.0,8667105.0
2,AK,Alaska,8419335,5727891,8071732.0,5953933.0
3,AZ,Arizona,35346766,14243659,38232376.0,14400191.0
4,AR,Arkansas,21665918,4985140,21439227.0,4828756.0
5,CA,California,332456557,151715007,322332341.0,151307658.0
6,CO,Colorado,32734001,16843571,31424888.0,16686588.0
7,CT,Connecticut,30307639,35351526,28139072.0,37024731.0
8,DE,Delaware,8268967,4964915,8083659.0,5045161.0
9,FL,Florida,91563525,33362901,85575636.0,33469117.0
10,GA,Georgia,45506660,13247675,45859766.0,13130551.0
11,HI,Hawaii,13065465,8757730,13417567.0,9216583.0
12,ID,Idaho,9346857,3685377,9401987.0,3542856.0
13,IL,Illinois,83631798,64212776,75492133.0,65791900.0
14,IN,Indiana,38919794,22463710,38687720.0,22470543.0
15,IA,Iowa,23478150,6223008,23716008.0,5956424.0
16,KS,Kansas,17949994,7581462,17609012.0,9537833.0
17,KY,Kentucky,30059829,13784882,29917598.0,14453423.0
18,LA,Louisiana,28101183,17616233,26842105.0,17913229.0
19,ME,Maine,8949059,5011671,8987038.0,4845408.0
20,MD,Maryland,42718541,26592571,42037052.0,27871287.0
21,MA,Massachusetts,61139906,75307661,60311575.0,76861071.0
22,MI,Michigan,68301496,33245109,71188554.0,33744508.0
23,MN,Minnesota,47407059,15862174,44247753.0,16213046.0
24,MS,Mississippi,21333157,7470450,20880788.0,7283371.0
25,MO,Missouri,34610377,19396172,33039255.0,19103212.0
26,MT,Montana,7487622,3206612,6862804.0,3052423.0
27,NE,Nebraska,11361675,1809126,10881575.0,1950506.0
28,NV,Nevada,16439338,3351972,16808682.0,3222367.0
29,NH,New Hampshire,8021839,8211178,8343685.0,7869122.0
30,NJ,New Jersey,69746902,67167455,65689159.0,66721791.0
31,NM,New Mexico,19339452,6738313,18602071.0,6951535.0
32,NY,New York,203800058,137369589,185619993.0,137479990.0
33,NC,North Carolina,54804141,17514428,55216832.0,16919235.0
34,ND,North Dakota,9883423,2063788,7324343.0,2355700.0
35,OH,Ohio,85140343,33108954,78331623.0,33164507.0
36,OK,Oklahoma,24938838,8918175,22862875.0,8702914.0
37,OR,Oregon,35086418,13061182,32763887.0,13355878.0
38,PA,Pennsylvania,90832375,47920479,90792145.0,47099314.0
39,RI,Rhode Island,8404265,9004835,8201456.0,9052017.0
40,SC,South Carolina,29546888,15122266,28937828.0,16228097.0
41,SD,South Dakota,4875457,3346046,4537220.0,3366459.0
42,TN,Tennessee,30806454,6031121,31427933.0,6075745.0
43,TX,Texas,138700488,48038004,144218813.0,49357183.0
44,UT,Utah,18625819,7479978,18164518.0,7013698.0
45,VT,Vermont,6343741,3388764,6488122.0,2492083.0
46,VA,Virginia,51639540,28231613,51655912.0,28628254.0
47,WA,Washington,50247438,32231967,51122740.0,33059765.0
48,WV,West Virginia,14946301,7123763,13906210.0,7223531.0
49,WI,Wisconsin,42099660,22086615,36853220.0,23052389.0
50,WY,Wyoming,7266100,834783,5914028.0,775568.0
